NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3551.12; Contra Costa County; California,06013355112,355112,5746.0,,
Census Tract 3551.13; Contra Costa County; California,06013355113,355113,5416.0,,
Census Tract 3551.15; Contra Costa County; California,06013355115,355115,10013.0,,
Census Tract 3551.18; Contra Costa County; California,06013355118,355118,3732.0,,
Census Tract 3551.19; Contra Costa County; California,06013355119,355119,5091.0,,
Census Tract 3551.20; Contra Costa County; California,06013355120,355120,4031.0,,
Census Tract 3551.21; Contra Costa County; California,06013355121,355121,6409.0,,
Census Tract 3551.22; Contra Costa County; California,06013355122,355122,5469.0,,
Census Tract 3551.23; Contra Costa County; California,06013355123,355123,3333.0,,
Census Tract 3551.24; Contra Costa County; California,06013355124,355124,4591.0,,
Census Tract 3551.25; Contra Costa County; California,06013355125,355125,4096.0,,
Census Tract 3551.26; Contra Costa County; California,06013355126,355126,5773.0,,
Census Tract 3552.01; Contra Costa County; California,06013355201,355201,8113.0,,
Census Tract 3552.02; Contra Costa County; California,06013355202,355202,3981.0,,
Census Tract 3553.02; Contra Costa County; California,06013355302,355302,3454.0,,
Census Tract 3553.06; Contra Costa County; California,06013355306,355306,4550.0,,
Census Tract 3553.07; Contra Costa County; California,06013355307,355307,4345.0,,
Census Tract 3553.08; Contra Costa County; California,06013355308,355308,3570.0,,
Census Tract 3553.09; Contra Costa County; California,06013355309,355309,5150.0,,
Census Tract 3553.10; Contra Costa County; California,06013355310,355310,3039.0,,
Census Tract 3560.01; Contra Costa County; California,06013356001,356001,4020.0,,
Census Tract 3560.02; Contra Costa County; California,06013356002,356002,5688.0,,
Census Tract 3570; Contra Costa County; California,06013357000,357000,3458.0,,
Census Tract 3580; Contra Costa County; California,06013358000,358000,5859.0,0.1686294589520396,0.0597127123778411
Census Tract 3591.02; Contra Costa County; California,06013359102,359102,5038.0,,
Census Tract 3591.03; Contra Costa County; California,06013359103,359103,5406.0,,
Census Tract 3591.04; Contra Costa County; California,06013359104,359104,2510.0,,
Census Tract 3591.05; Contra Costa County; California,06013359105,359105,4914.0,,
Census Tract 3592.02; Contra Costa County; California,06013359202,359202,6790.0,,
Census Tract 3592.03; Contra Costa County; California,06013359203,359203,7196.0,,
Census Tract 3592.04; Contra Costa County; California,06013359204,359204,4335.0,,
Census Tract 3601.01; Contra Costa County; California,06013360101,360101,4206.0,,
Census Tract 3601.02; Contra Costa County; California,06013360102,360102,5025.0,,
Census Tract 3602; Contra Costa County; California,06013360200,360200,5420.0,,
Census Tract 3610; Contra Costa County; California,06013361000,361000,4929.0,,
Census Tract 3620; Contra Costa County; California,06013362000,362000,2827.0,,
Census Tract 3630; Contra Costa County; California,06013363000,363000,7793.0,,
Census Tract 3640.02; Contra Costa County; California,06013364002,364002,5425.0,,
Census Tract 3650.02; Contra Costa County; California,06013365002,365002,5171.0,0.16553858054534906,0.051429541077167025
Census Tract 3650.03; Contra Costa County; California,06013365003,365003,5416.0,,
Census Tract 3660.01; Contra Costa County; California,06013366001,366001,4577.0,,
Census Tract 3660.02; Contra Costa County; California,06013366002,366002,6855.0,,
Census Tract 3671; Contra Costa County; California,06013367100,367100,5760.0,,
Census Tract 3672; Contra Costa County; California,06013367200,367200,5840.0,,
Census Tract 3680.01; Contra Costa County; California,06013368001,368001,5013.0,,
Census Tract 3680.02; Contra Costa County; California,06013368002,368002,4102.0,0.07703559239395417,0.029487988779791606
Census Tract 3690.01; Contra Costa County; California,06013369001,369001,6957.0,,
Census Tract 3690.02; Contra Costa County; California,06013369002,369002,2728.0,,
Census Tract 3700; Contra Costa County; California,06013370000,370000,2960.0,,
Census Tract 3710; Contra Costa County; California,06013371000,371000,5776.0,,
Census Tract 3720; Contra Costa County; California,06013372000,372000,7610.0,,
Census Tract 3730; Contra Costa County; California,06013373000,373000,4354.0,,
Census Tract 3740; Contra Costa County; California,06013374000,374000,4687.0,,
Census Tract 3750; Contra Costa County; California,06013375000,375000,5266.0,0.17812381314090392,0.07068221309560954
Census Tract 3760; Contra Costa County; California,06013376000,376000,6677.0,0.25190954021267037,0.07419964299921203
Census Tract 3770; Contra Costa County; California,06013377000,377000,7773.0,0.22050688279943395,0.07540231380136041
Census Tract 3780; Contra Costa County; California,06013378000,378000,3887.0,,
Census Tract 3790; Contra Costa County; California,06013379000,379000,8207.0,,
Census Tract 3800.01; Contra Costa County; California,06013380001,380001,2896.0,,
Census Tract 3800.02; Contra Costa County; California,06013380002,380002,3402.0,,
Census Tract 3810; Contra Costa County; California,06013381000,381000,6669.0,0.2109761583445794,0.07195117402394713
Census Tract 3820; Contra Costa County; California,06013382000,382000,8451.0,,
Census Tract 3830; Contra Costa County; California,06013383000,383000,5841.0,,
Census Tract 3840; Contra Costa County; California,06013384000,384000,3807.0,,
Census Tract 3851; Contra Costa County; California,06013385100,385100,3073.0,,
Census Tract 3852; Contra Costa County; California,06013385200,385200,1413.0,,
Census Tract 3860; Contra Costa County; California,06013386000,386000,3758.0,0.17216604576902608,0.06339152395178474
Census Tract 3870; Contra Costa County; California,06013387000,387000,3090.0,,
Census Tract 3880; Contra Costa County; California,06013388000,388000,2706.0,,
Census Tract 3891; Contra Costa County; California,06013389100,389100,2445.0,,
Census Tract 3892; Contra Costa County; California,06013389200,389200,1918.0,,
Census Tract 3901; Contra Costa County; California,06013390100,390100,2217.0,,
Census Tract 3902; Contra Costa County; California,06013390200,390200,1794.0,,
Census Tract 3910; Contra Costa County; California,06013391000,391000,2568.0,,
Census Tract 3920; Contra Costa County; California,06013392000,392000,2581.0,,
Census Tract 3922.01; Contra Costa County; California,06013392201,392201,4780.0,,
Census Tract 3922.02; Contra Costa County; California,06013392202,392202,4724.0,,
Census Tract 3923; Contra Costa County; California,06013392300,392300,3754.0,,
Census Tract 9800; Contra Costa County; California,06013980000,980000,0.0,,
Census Tract 9900; Contra Costa County; California,06013990000,990000,0.0,,
