NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3400.03; Contra Costa County; California,06013340003,340003,407.0,0.04176904176904177,0.039281516840798156
Census Tract 3400.04; Contra Costa County; California,06013340004,340004,561.0,0.06417112299465241,0.07279096799690264
Census Tract 3410; Contra Costa County; California,06013341000,341000,289.0,0.0,0.04498269896193772
Census Tract 3430.01; Contra Costa County; California,06013343001,343001,493.0,0.11156186612576065,0.1584362502603195
Census Tract 3430.02; Contra Costa County; California,06013343002,343002,528.0,0.14393939393939395,0.13131180107258483
Census Tract 3430.03; Contra Costa County; California,06013343003,343003,143.0,0.027972027972027972,0.07492716972501684
Census Tract 3451.01; Contra Costa County; California,06013345101,345101,852.0,0.014084507042253521,0.023104551208749297
Census Tract 3451.02; Contra Costa County; California,06013345102,345102,620.0,0.014516129032258065,0.03711263312277363
Census Tract 3451.03; Contra Costa County; California,06013345103,345103,349.0,0.022922636103151862,0.03867772050312101
Census Tract 3451.05; Contra Costa County; California,06013345105,345105,493.0,0.07099391480730223,0.13428897498414755
Census Tract 3451.11; Contra Costa County; California,06013345111,345111,861.0,0.04529616724738676,0.06593048190767034
Census Tract 3451.12; Contra Costa County; California,06013345112,345112,502.0,0.12350597609561753,0.14253451700129416
Census Tract 3451.13; Contra Costa County; California,06013345113,345113,411.0,0.22141119221411193,0.3181796575228314
Census Tract 3451.14; Contra Costa County; California,06013345114,345114,217.0,0.0,0.08755760368663594
Census Tract 3451.15; Contra Costa County; California,06013345115,345115,208.0,0.07211538461538461,0.10416817082624817
Census Tract 3451.16; Contra Costa County; California,06013345116,345116,345.0,0.028985507246376812,0.029766352977927263
Census Tract 3451.17; Contra Costa County; California,06013345117,345117,503.0,0.0,0.02584493041749503
Census Tract 3451.18; Contra Costa County; California,06013345118,345118,414.0,0.0,0.03140096618357488
Census Tract 3452.03; Contra Costa County; California,06013345203,345203,576.0,0.08159722222222222,0.12890397997499806
Census Tract 3452.04; Contra Costa County; California,06013345204,345204,283.0,0.04946996466431095,0.06265697802716542
Census Tract 3452.05; Contra Costa County; California,06013345205,345205,522.0,0.08045977011494253,0.08619752011781426
Census Tract 3452.06; Contra Costa County; California,06013345206,345206,419.0,0.0,0.031026252983293555
Census Tract 3461.01; Contra Costa County; California,06013346101,346101,105.0,0.17142857142857143,0.24245737786747815
Census Tract 3461.02; Contra Costa County; California,06013346102,346102,409.0,0.09290953545232274,0.018108271042227782
Census Tract 3462.03; Contra Costa County; California,06013346203,346203,348.0,0.0,0.03735632183908046
Census Tract 3462.04; Contra Costa County; California,06013346204,346204,383.0,0.02349869451697128,0.012833667380900861
Census Tract 3462.05; Contra Costa County; California,06013346205,346205,402.0,0.30845771144278605,0.37649485864186155
Census Tract 3462.06; Contra Costa County; California,06013346206,346206,392.0,0.03826530612244898,0.06186471039690327
Census Tract 3470; Contra Costa County; California,06013347000,347000,530.0,0.005660377358490566,0.016747218501449494
Census Tract 3480; Contra Costa County; California,06013348000,348000,237.0,0.0,0.05485232067510549
Census Tract 3490; Contra Costa County; California,06013349000,349000,484.0,0.12396694214876033,0.12660170168550988
Census Tract 3500; Contra Costa County; California,06013350000,350000,658.0,0.019756838905775075,0.033781834747365846
Census Tract 3511.01; Contra Costa County; California,06013351101,351101,16.0,0.0,0.8125
Census Tract 3511.03; Contra Costa County; California,06013351103,351103,29.0,0.034482758620689655,0.13494659651948734
Census Tract 3511.04; Contra Costa County; California,06013351104,351104,84.0,0.0,0.15476190476190477
Census Tract 3511.05; Contra Costa County; California,06013351105,351105,37.0,0.0,0.35135135135135137
