NAME,GEOID,tract,pct_below_poverty,pct_below_poverty_moe
Census Tract 3551.23; Contra Costa County; California,06013355123,355123,,0.2437343853874488
Census Tract 3551.24; Contra Costa County; California,06013355124,355124,,
Census Tract 3551.25; Contra Costa County; California,06013355125,355125,,0.35207921837860523
Census Tract 3551.26; Contra Costa County; California,06013355126,355126,,0.125
Census Tract 3552.01; Contra Costa County; California,06013355201,355201,,0.0247074122236671
Census Tract 3552.02; Contra Costa County; California,06013355202,355202,,0.01008533747090768
Census Tract 3553.02; Contra Costa County; California,06013355302,355302,,0.06898602743283391
Census Tract 3553.06; Contra Costa County; California,06013355306,355306,,0.3333333333333333
Census Tract 3553.07; Contra Costa County; California,06013355307,355307,,0.15294117647058825
Census Tract 3553.08; Contra Costa County; California,06013355308,355308,,0.03786525574546831
Census Tract 3553.09; Contra Costa County; California,06013355309,355309,,
Census Tract 3553.10; Contra Costa County; California,06013355310,355310,,0.07262569832402235
Census Tract 3560.01; Contra Costa County; California,06013356001,356001,,0.026748971193415638
Census Tract 3560.02; Contra Costa County; California,06013356002,356002,,0.1398468590749867
Census Tract 3570; Contra Costa County; California,06013357000,357000,,0.3237133190703838
Census Tract 3580; Contra Costa County; California,06013358000,358000,0.324435318275154,0.08158251134569156
Census Tract 3591.02; Contra Costa County; California,06013359102,359102,,0.03933957931149284
Census Tract 3591.03; Contra Costa County; California,06013359103,359103,,0.07521009976839148
Census Tract 3591.04; Contra Costa County; California,06013359104,359104,,0.030933073991275418
Census Tract 3591.05; Contra Costa County; California,06013359105,359105,,0.0324554402927674
Census Tract 3592.02; Contra Costa County; California,06013359202,359202,,0.056198054548254016
Census Tract 3592.03; Contra Costa County; California,06013359203,359203,,0.05729789292962821
Census Tract 3592.04; Contra Costa County; California,06013359204,359204,,0.051865510980384076
Census Tract 3601.01; Contra Costa County; California,06013360101,360101,,0.29051907957935746
Census Tract 3601.02; Contra Costa County; California,06013360102,360102,,0.03625954198473282
Census Tract 3602; Contra Costa County; California,06013360200,360200,,0.18481782123144128
Census Tract 3610; Contra Costa County; California,06013361000,361000,,0.05784465050988611
Census Tract 3620; Contra Costa County; California,06013362000,362000,,0.09612024770803702
Census Tract 3630; Contra Costa County; California,06013363000,363000,,0.01368290665694521
Census Tract 3640.02; Contra Costa County; California,06013364002,364002,,0.04328870406276156
Census Tract 3650.02; Contra Costa County; California,06013365002,365002,0.2233632862644416,0.05535052305288325
Census Tract 3650.03; Contra Costa County; California,06013365003,365003,,0.18802996954648332
Census Tract 3660.01; Contra Costa County; California,06013366001,366001,,0.04104620977560462
Census Tract 3660.02; Contra Costa County; California,06013366002,366002,,0.10844760290114099
Census Tract 3671; Contra Costa County; California,06013367100,367100,,0.04328174856116162
Census Tract 3672; Contra Costa County; California,06013367200,367200,,0.0607164767616638
Census Tract 3680.01; Contra Costa County; California,06013368001,368001,,0.2239396342636412
Census Tract 3680.02; Contra Costa County; California,06013368002,368002,,0.1523625657306014
Census Tract 3690.01; Contra Costa County; California,06013369001,369001,,0.11629150297377563
Census Tract 3690.02; Contra Costa County; California,06013369002,369002,0.18733509234828497,0.07397057089868879
Census Tract 3700; Contra Costa County; California,06013370000,370000,,0.05654687317805224
Census Tract 3710; Contra Costa County; California,06013371000,371000,,0.06816059518640331
Census Tract 3720; Contra Costa County; California,06013372000,372000,,0.0791345943807904
Census Tract 3730; Contra Costa County; California,06013373000,373000,,0.24609775367712158
Census Tract 3740; Contra Costa County; California,06013374000,374000,0.39923224568138194,0.15870753714324404
Census Tract 3750; Contra Costa County; California,06013375000,375000,,0.26162251332726744
Census Tract 3760; Contra Costa County; California,06013376000,376000,,0.1402838850082214
Census Tract 3770; Contra Costa County; California,06013377000,377000,,0.2007674438363545
Census Tract 3780; Contra Costa County; California,06013378000,378000,,0.28835884656461375
Census Tract 3790; Contra Costa County; California,06013379000,379000,,0.13509730524126223
Census Tract 3800.01; Contra Costa County; California,06013380001,380001,,0.09134795202029192
Census Tract 3800.02; Contra Costa County; California,06013380002,380002,,0.17116732457313033
Census Tract 3810; Contra Costa County; California,06013381000,381000,,0.12487345554263722
Census Tract 3820; Contra Costa County; California,06013382000,382000,,0.09201005337821844
Census Tract 3830; Contra Costa County; California,06013383000,383000,,0.11267417419186357
Census Tract 3840; Contra Costa County; California,06013384000,384000,,0.05557020166479822
Census Tract 3851; Contra Costa County; California,06013385100,385100,,0.09263181940284604
Census Tract 3852; Contra Costa County; California,06013385200,385200,,0.065
Census Tract 3860; Contra Costa County; California,06013386000,386000,,0.1613499980847983
Census Tract 3870; Contra Costa County; California,06013387000,387000,,0.04399423108614658
Census Tract 3880; Contra Costa County; California,06013388000,388000,,0.3452020113777505
Census Tract 3891; Contra Costa County; California,06013389100,389100,,0.27621822879648145
Census Tract 3892; Contra Costa County; California,06013389200,389200,,0.19318315872142702
Census Tract 3901; Contra Costa County; California,06013390100,390100,,0.3333333333333333
Census Tract 3902; Contra Costa County; California,06013390200,390200,,
Census Tract 3910; Contra Costa County; California,06013391000,391000,,0.4482758620689655
Census Tract 3920; Contra Costa County; California,06013392000,392000,,0.16357683957269828
Census Tract 3922.01; Contra Costa County; California,06013392201,392201,,0.04111723948596815
Census Tract 3922.02; Contra Costa County; California,06013392202,392202,,0.053061224489795916
Census Tract 3923; Contra Costa County; California,06013392300,392300,,0.173198424251307
Census Tract 9800; Contra Costa County; California,06013980000,980000,,
Census Tract 9900; Contra Costa County; California,06013990000,990000,,
