NAME,GEOID,GEO_ID,tract,total,pct_nh_black,pct_nh_black_moe,pct_nh_black_moe_ratio
Census Tract 3310; Contra Costa County; California,06013331000,1400000US06013331000,331000,7789.0,,0.02643116756084521,0.5932921156525168
Census Tract 3320; Contra Costa County; California,06013332000,1400000US06013332000,332000,8109.0,,0.015365053776481721,0.8475865379148999
Census Tract 3331.01; Contra Costa County; California,06013333101,1400000US06013333101,333101,3951.0,,0.026648690469042752,1.332771848647948
Census Tract 3331.02; Contra Costa County; California,06013333102,1400000US06013333102,333102,4251.0,,0.017638380916171044,0.7976676305813097
Census Tract 3332; Contra Costa County; California,06013333200,1400000US06013333200,333200,5866.0,,0.026927767181638675,0.9934483162735375
Census Tract 3340.01; Contra Costa County; California,06013334001,1400000US06013334001,334001,3960.0,,0.003966091804245887,0.8725401969340951
Census Tract 3340.06; Contra Costa County; California,06013334006,1400000US06013334006,334006,4731.0,,0.03625400595647941,0.6673840551755023
Census Tract 3340.07; Contra Costa County; California,06013334007,1400000US06013334007,334007,3435.0,,0.04292321370472557,0.9764320468591546
Census Tract 3340.08; Contra Costa County; California,06013334008,1400000US06013334008,334008,3793.0,,0.1604754776261537,0.8658371075903285
Census Tract 3342; Contra Costa County; California,06013334200,1400000US06013334200,334200,7547.0,,0.015962160588520423,0.5736496474360173
Census Tract 3350; Contra Costa County; California,06013335000,1400000US06013335000,335000,3612.0,,0.010984682772388373,1.4695064508839555
Census Tract 3361.01; Contra Costa County; California,06013336101,1400000US06013336101,336101,4438.0,,0.03859764204693259,0.7137347308511952
Census Tract 3361.03; Contra Costa County; California,06013336103,1400000US06013336103,336103,4862.0,,0.018107846777768874,0.8151884354954839
Census Tract 3361.04; Contra Costa County; California,06013336104,1400000US06013336104,336104,2539.0,,0.0625112639877403,0.5668432116602594
Census Tract 3362.01; Contra Costa County; California,06013336201,1400000US06013336201,336201,3376.0,,0.03493364882483633,0.9746776729970863
Census Tract 3362.02; Contra Costa County; California,06013336202,1400000US06013336202,336202,6012.0,,0.04251179589991255,0.9681095339025539
Census Tract 3371; Contra Costa County; California,06013337100,1400000US06013337100,337100,3160.0,,0.04762392014286339,1.0032772510096553
Census Tract 3372.01; Contra Costa County; California,06013337201,1400000US06013337201,337201,3139.0,,0.012013297451600836,1.39665706298426
Census Tract 3372.02; Contra Costa County; California,06013337202,1400000US06013337202,337202,5515.0,,0.029056274003811968,1.136491851993071
