NAME,GEOID,GEO_ID,tract,total,pct_nh_white,pct_nh_white_moe,pct_nh_white_moe_ratio
Census Tract 3552.01; Contra Costa County; California,06013355201,1400000US06013355201,355201,8114.0,0.09539068277052008,0.02861300695505056,0.2999559928078556
Census Tract 3552.02; Contra Costa County; California,06013355202,1400000US06013355202,355202,3981.0,0.1369002763124843,0.035785392237426536,0.26139751650861476
Census Tract 3553.02; Contra Costa County; California,06013355302,1400000US06013355302,355302,3454.0,0.6395483497394325,,
Census Tract 3553.06; Contra Costa County; California,06013355306,1400000US06013355306,355306,4550.0,0.7378021978021978,0.04962343600903628,0.0672584551209756
Census Tract 3553.07; Contra Costa County; California,06013355307,1400000US06013355307,355307,4397.0,0.5023879918125995,0.03534328206142959,0.07035057094798818
Census Tract 3553.08; Contra Costa County; California,06013355308,1400000US06013355308,355308,3570.0,0.7535014005602241,0.11200357355515403,0.14864414780368027
Census Tract 3553.09; Contra Costa County; California,06013355309,1400000US06013355309,355309,5150.0,0.6332038834951457,,
Census Tract 3553.10; Contra Costa County; California,06013355310,1400000US06013355310,355310,3070.0,0.545928338762215,0.11120343251852498,0.20369602495935063
Census Tract 3560.01; Contra Costa County; California,06013356001,1400000US06013356001,356001,4025.0,0.19627329192546583,0.059636487709478325,0.30384413041854463
Census Tract 3560.02; Contra Costa County; California,06013356002,1400000US06013356002,356002,5688.0,0.3257735583684951,0.0570100682113535,0.17499906529205542
Census Tract 3570; Contra Costa County; California,06013357000,1400000US06013357000,357000,3458.0,0.6816078658183922,0.08916354107860494,0.1308135447814238
Census Tract 3580; Contra Costa County; California,06013358000,1400000US06013358000,358000,5859.0,0.27444956477214544,0.051302892399438124,0.18693012846287807
Census Tract 3591.02; Contra Costa County; California,06013359102,1400000US06013359102,359102,5061.0,0.2598300731080814,0.04297232924328421,0.1653862800762444
Census Tract 3591.03; Contra Costa County; California,06013359103,1400000US06013359103,359103,5435.0,0.302851885924563,0.07804692413544904,0.25770658121273726
Census Tract 3591.04; Contra Costa County; California,06013359104,1400000US06013359104,359104,2537.0,0.18171068190776507,0.025634127644156283,0.14107111026729824
Census Tract 3591.05; Contra Costa County; California,06013359105,1400000US06013359105,359105,4927.0,0.11568906028008931,0.027837081445015968,0.24061982505191873
Census Tract 3592.02; Contra Costa County; California,06013359202,1400000US06013359202,359202,6819.0,0.34433201349171433,0.04497930028868614,0.1306277038622448
Census Tract 3592.03; Contra Costa County; California,06013359203,1400000US06013359203,359203,7200.0,0.27402777777777776,0.09464506884943012,0.345384944610186
Census Tract 3592.04; Contra Costa County; California,06013359204,1400000US06013359204,359204,4340.0,0.16129032258064516,0.043014275100285077,0.2666885056217675
Census Tract 3601.01; Contra Costa County; California,06013360101,1400000US06013360101,360101,4224.0,0.3802083333333333,0.030131730863350765,0.07925057980497736
Census Tract 3601.02; Contra Costa County; California,06013360102,1400000US06013360102,360102,5030.0,0.4850894632206759,0.06303192719306284,0.1299387679430763
Census Tract 3602; Contra Costa County; California,06013360200,1400000US06013360200,360200,5482.0,0.23130244436337102,0.03919683971047138,0.16946141584606003
Census Tract 3610; Contra Costa County; California,06013361000,1400000US06013361000,361000,4973.0,0.30022119445003015,0.04096093967558569,0.1364358693949683
