NAME,GEOID,GEO_ID,tract,total,pct_nh_other,pct_nh_other_moe,pct_nh_other_moe_ratio
Census Tract 3390.04; Contra Costa County; California,06013339004,1400000US06013339004,339004,3319.0,,0.03112410828108643,0.532478945283123
Census Tract 3400.01; Contra Costa County; California,06013340001,1400000US06013340001,340001,6118.0,,0.030923490686824942,0.522624077408826
Census Tract 3400.03; Contra Costa County; California,06013340003,1400000US06013340003,340003,3718.0,,0.03489202469340185,0.6390568857638822
Census Tract 3400.04; Contra Costa County; California,06013340004,1400000US06013340004,340004,3940.0,,0.027745220508992547,0.6747911654656212
Census Tract 3410; Contra Costa County; California,06013341000,1400000US06013341000,341000,4760.0,,0.05676371924641443,0.7443396793744701
Census Tract 3430.01; Contra Costa County; California,06013343001,1400000US06013343001,343001,5940.0,,0.12743557187434582,1.0498852939439864
Census Tract 3430.02; Contra Costa County; California,06013343002,1400000US06013343002,343002,4658.0,,0.04253850916463644,0.5106813806414343
Census Tract 3430.03; Contra Costa County; California,06013343003,1400000US06013343003,343003,3847.0,,0.028357580509251586,0.553764529030918
Census Tract 3451.01; Contra Costa County; California,06013345101,1400000US06013345101,345101,6622.0,,0.039694771510115925,0.5194837488932562
Census Tract 3451.02; Contra Costa County; California,06013345102,1400000US06013345102,345102,4533.0,,0.02225460363952275,0.8927444097164302
Census Tract 3451.03; Contra Costa County; California,06013345103,1400000US06013345103,345103,5286.0,0.09288687097994704,0.03568102095758112,0.3841341685983173
Census Tract 3451.05; Contra Costa County; California,06013345105,1400000US06013345105,345105,6233.0,,0.04516645292880001,0.6160229783483818
Census Tract 3451.11; Contra Costa County; California,06013345111,1400000US06013345111,345111,5850.0,,0.019458548866072636,0.5319276208716118
Census Tract 3451.12; Contra Costa County; California,06013345112,1400000US06013345112,345112,7723.0,,0.028330645244351204,0.4615982557428784
Census Tract 3451.13; Contra Costa County; California,06013345113,1400000US06013345113,345113,4767.0,,0.040526109676381,0.5784070803212821
Census Tract 3451.14; Contra Costa County; California,06013345114,1400000US06013345114,345114,6571.0,,0.025560850637264917,0.5418075791531218
Census Tract 3451.15; Contra Costa County; California,06013345115,1400000US06013345115,345115,6758.0,,0.02017361559632206,0.5979530447365986
Census Tract 3451.16; Contra Costa County; California,06013345116,1400000US06013345116,345116,2961.0,,0.02799039444176313,0.49927444543410016
Census Tract 3451.17; Contra Costa County; California,06013345117,1400000US06013345117,345117,4652.0,,0.047019454732222264,0.4653925604559532
Census Tract 3451.18; Contra Costa County; California,06013345118,1400000US06013345118,345118,3525.0,,0.052785703991317316,0.5655611141926855
Census Tract 3452.03; Contra Costa County; California,06013345203,1400000US06013345203,345203,6954.0,,0.021131881798128437,0.5762788471536673
Census Tract 3452.04; Contra Costa County; California,06013345204,1400000US06013345204,345204,3152.0,,0.01508010583928405,1.3203470445950924
